,580
314,2043
314,2044
313,2045
314,2046
313,2048
314,2049
313,2050
313,2051
313,2052
313,2053
314,2054
314,2055
313,2056
313,2057
314,2058
314,2059
314,2060
314,2061
314,2062
314,2063
314,2064
314,2065
314,2066
314,2067
314,2068
314,2069
313,2070
313,2071
313,2072
313,2073
313,2074
313,2075
313,2076
313,2077
313,2078
313,2079
313,2080
313,2081
313,2081
313,2082
313,2083
314,2084
314,2085
313,2086
313,2087
313,2088
313,2089
313,2091
314,2092
314,2093
314,2094
314,2095
314,2096
314,2097
314,2098
314,2099
314,2100
314,2101
314,2102
315,2103
314,2104
314,2105
315,2106
314,2107
315,2108
314,2109
315,2110
315,2111
314,2112
315,2113
314,2114
315,2115
315,2116
315,2117
315,2118
315,2119
315,2120
315,2121
315,2122
316,2123
316,2124
315,2125
315,2126
316,2127
315,2128
315,2129
315,2130
315,2131
315,2132
316,2134
316,2134
315,2135
316,2136
316,2137
316,2138
315,2139
316,2140
316,2141
316,2142
316,2143
316,2144
316,2145
316,2146
316,2147
316,2148
316,2149
316,2150
316,2151
316,2152
316,2153
317,2154
316,2155
316,2156
317,2157
317,2158
317,2159
317,2160
318,2161
317,2162
318,2163
318,2164
318,2165
318,2166
318,2167
317,2168
318,2169
318,2170
318,2171
318,2172
318,2173
318,2174
317,2176
317,2177
318,2178
318,2179
318,2180
318,2181
318,2182
318,2183
318,2184
318,2185
318,2185
318,2186
318,2187
318,2188
318,2189
318,2190
318,2191
318,2192
318,2193
318,2194
318,2195
318,2196
318,2197
318,2198
319,2199
319,2200
319,2201
319,2202
319,2203
319,2204
319,2205
319,2206
319,2207
319,2208
319,2209
319,2210
319,2211
319,2212
319,2213
318,2214
319,2215
319,2216
318,2217
319,2219
319,2220
319,2221
319,2222
319,2223
319,2224
319,2225
319,2226
319,2227
319,2228
318,2229
318,2230
318,2231
318,2232
318,2233
318,2234
318,2235
318,2236
318,2237
319,2237
318,2238
319,2239
319,2240
319,2241
319,2242
319,2243
319,2244
319,2245
319,2246
319,2247
319,2248
319,2249
319,2250
319,2251
319,2252
319,2253
319,2254
319,2255
319,2256
319,2257
319,2258
319,2259
319,2260
319,2262
319,2263
320,2264
319,2265
319,2266
319,2267
320,2268
320,2269
320,2270
319,2271
319,2272
320,2273
320,2274
319,2275
319,2276
320,2277
319,2278
320,2279
320,2280
320,2281
320,2282
320,2283
320,2284
320,2285
320,2286
320,2287
320,2288
320,2288
319,2289
320,2290
320,2291
320,2292
319,2293
320,2294
320,2295
320,2296
320,2297
320,2298
320,2299
320,2300
320,2301
320,2302
320,2304
320,2305
320,2306
320,2307
320,2308
320,2309
320,2310
320,2311
320,2312
320,2313
320,2314
320,2315
320,2316
320,2317
320,2318
320,2319
320,2320
320,2321
320,2322
320,2323
320,2324
320,2325
320,2326
320,2327
320,2328
320,2329
320,2330
319,2331
320,2332
320,2333
319,2334
319,2335
319,2336
320,2337
319,2338
320,2339
320,2339
320,2340
320,2341
320,2342
320,2343
320,2344
320,2345
320,2347
320,2348
320,2349
320,2350
320,2351
320,2352
320,2353
320,2354
320,2355
320,2356
320,2357
320,2358
320,2359
320,2360
320,2361
320,2362
320,2363
320,2364
320,2365
320,2366
320,2367
320,2368
320,2369
320,2370
320,2371
320,2372
320,2373
320,2374
320,2375
320,2376
320,2377
320,2378
320,2379
321,2380
321,2381
321,2382
321,2383
321,2384
320,2385
320,2386
320,2387
320,2388
320,2390
320,2391
320,2392
320,2392
320,2393
319,2394
320,2395
320,2396
320,2397
320,2398
